# x,y,velocity_x(pixel/s),velocity_y(pixel/s),pressure(Pa)
1.124315871799999936e-02,6.799999999999999378e-01,-4.006469517074075222e+09,-4.591451030385376930e+09,-9.940142206887864873e+00
1.124315871799999936e-02,6.599999999999999201e-01,-1.539432429622456074e+09,-2.465868118319416046e+09,-9.962612835642449483e+00
1.124315871799999936e-02,6.400000000000000133e-01,-4.763582595159624219e+08,-1.237557208572646141e+09,-9.977109000732681920e+00
1.124315871799999936e-02,6.199999999999999956e-01,-1.201716539380028993e+08,-5.572159921759505272e+08,-9.985199783168933862e+00
1.124315871799999936e-02,5.999999999999999778e-01,-4.579484989305175841e+07,-1.842895023531287611e+08,-9.988067032871692064e+00
1.124315871799999936e-02,5.800000000000000711e-01,0.000000000000000000e+00,0.000000000000000000e+00,-9.973844972990738356e+00
2.248631743599999872e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.827097177963972641e+00
2.248631743599999872e-02,9.799999999999999822e-01,-7.104208850277532959e+10,-2.289673587631974697e+09,-9.618804208377564890e+00
2.248631743599999872e-02,9.599999999999999645e-01,-1.306477617206216736e+11,-6.942936318833943367e+09,-9.543897606228748387e+00
2.248631743599999872e-02,9.399999999999999467e-01,-1.773098965252551270e+11,-1.253916195932806015e+10,-9.520687703165792826e+00
2.248631743599999872e-02,9.200000000000000400e-01,-2.100945912731448669e+11,-1.861975046152169037e+10,-9.517224548138473850e+00
2.248631743599999872e-02,9.000000000000000222e-01,-2.286293998984626770e+11,-2.489934319051449966e+10,-9.524586955684995360e+00
2.248631743599999872e-02,8.800000000000000044e-01,-2.329490360505659790e+11,-3.108644079451295853e+10,-9.541462134712368481e+00
2.248631743599999872e-02,8.599999999999999867e-01,-2.235102394756874695e+11,-3.678110859838536835e+10,-9.570968745163693114e+00
2.248631743599999872e-02,8.399999999999999689e-01,-2.013919044112933960e+11,-4.134168823393830872e+10,-9.620242622251007347e+00
2.248631743599999872e-02,8.200000000000000622e-01,-1.687594400633738098e+11,-4.374916856835803223e+10,-9.697480567256468120e+00
2.248631743599999872e-02,8.000000000000000444e-01,-1.295502682763005981e+11,-4.272327290092938232e+10,-9.802388038584824770e+00
2.248631743599999872e-02,7.800000000000000266e-01,-8.967054602410069275e+10,-3.753285553213381958e+10,-9.916108780244080378e+00
2.248631743599999872e-02,7.600000000000000089e-01,-5.538296796254798126e+10,-2.912893377912636566e+10,-1.000748597847335297e+01
2.248631743599999872e-02,7.399999999999999911e-01,-3.046347413492025375e+10,-1.992323998278138733e+10,-1.005494126219137918e+01
