# x,y,velocity_x(pixel/s),velocity_y(pixel/s),pressure(Pa)
2.810789679500000013e-02,6.999999999999999556e-01,1.044452937220983757e-01,-2.514921571220680302e-02,1.026792544612409053e+01
2.810789679500000013e-02,6.500000000000000222e-01,-3.059173950857329016e-01,-1.563115934621902570e-01,1.011066624562396754e+01
2.810789679500000013e-02,5.999999999999999778e-01,-1.572643915763243753e-06,-6.380038934550155997e-08,1.012018028652971324e+01
2.810789679500000013e-02,5.500000000000000444e-01,-9.148806018896068682e-08,-2.030875216734435251e-08,1.017851019843430116e+01
2.810789679500000013e-02,5.000000000000000000e-01,-2.169738558563154470e-08,-3.071047471362629759e-08,9.999999790655767384e+00
2.810789679500000013e-02,4.500000000000000111e-01,1.405536861290622000e-06,-2.558438890826628111e-07,9.999999888076921195e+00
2.810789679500000013e-02,4.000000000000000222e-01,3.019089364258345883e-06,-9.423052618113286954e-07,9.999999838326825596e+00
2.810789679500000013e-02,3.499999999999999778e-01,3.382469327438209981e-06,-5.326800346008790254e-07,9.999999736206197198e+00
2.810789679500000013e-02,2.999999999999999889e-01,1.261610603596825022e-07,-1.409423609197868848e-07,1.000000089595190822e+01
2.810789679500000013e-02,2.500000000000000000e-01,1.957937201339673955e-07,-1.091492520664297974e-07,9.603295436488345160e+00
2.810789679500000013e-02,2.000000000000000111e-01,3.284382872506712759e-07,-7.239168768856273781e-08,9.041072133644220798e+00
2.810789679500000013e-02,1.499999999999999944e-01,4.092837396698198178e-07,-3.069172756339799276e-08,8.828901375988028377e+00
2.810789679500000013e-02,9.999999999999997780e-02,4.435878773199420179e-07,-1.200518710948664234e-08,8.743924454136212887e+00
2.810789679500000013e-02,5.000000000000003747e-02,4.563291841139245171e-07,-3.934667243631999656e-09,8.713395530491904850e+00
2.810789679500000013e-02,0.000000000000000000e+00,4.594559895351719544e-07,0.000000000000000000e+00,8.706069679344830448e+00
5.621579359000000026e-02,1.000000000000000000e+00,8.794342098391088314e+01,0.000000000000000000e+00,8.361451161446902702e+00
5.621579359000000026e-02,9.499999999999999556e-01,8.310022960495656719e+01,2.728819418586931889e+00,8.413912681953204853e+00
5.621579359000000026e-02,9.000000000000000222e-01,6.877845642567766049e+01,5.447810150824454745e+00,8.576587398891032166e+00
5.621579359000000026e-02,8.499999999999999778e-01,4.582817673373575218e+01,7.926436610472872069e+00,9.500096160021286096e+00
5.621579359000000026e-02,8.000000000000000444e-01,1.683758790690835383e+01,7.187976465423473904e+00,1.148631849876158206e+01
5.621579359000000026e-02,7.500000000000000000e-01,1.823032281717156922e+00,8.394008132044334936e-01,1.200744978782815586e+01
5.621579359000000026e-02,6.999999999999999556e-01,-4.944884085874463875e-02,-5.167257249115471129e-01,1.057275465973535056e+01
5.621579359000000026e-02,6.500000000000000222e-01,-1.850356210066755047e-01,-2.350530481089737056e-01,1.018450301636814714e+01
5.621579359000000026e-02,5.999999999999999778e-01,-1.780639213106917709e-02,-8.917843407430287375e-03,1.010640157913231008e+01
5.621579359000000026e-02,5.500000000000000444e-01,1.558303443537072510e-08,-2.422803295658501616e-08,1.012855012142669864e+01
5.621579359000000026e-02,5.000000000000000000e-01,2.362017016818365619e-08,-2.372615479794601778e-08,9.999999705349468471e+00
5.621579359000000026e-02,4.500000000000000111e-01,7.107729112943447195e-07,-8.599431973053895893e-08,9.999999830678943269e+00
5.621579359000000026e-02,4.000000000000000222e-01,2.865670368238547370e-06,-1.294603861436758128e-06,9.999999593541284426e+00
5.621579359000000026e-02,3.499999999999999778e-01,3.870752057392405277e-06,-2.869554696067825321e-07,9.999999442383264991e+00
5.621579359000000026e-02,2.999999999999999889e-01,2.423969039292520420e-07,-2.958644604087834300e-07,1.000000071794080725e+01
5.621579359000000026e-02,2.500000000000000000e-01,2.783603355375199185e-07,-2.135824854150807919e-07,8.926155041670334356e+00
5.621579359000000026e-02,2.000000000000000111e-01,3.796251289501647944e-07,-1.221964412545578085e-07,7.999392284048019164e+00
5.621579359000000026e-02,1.499999999999999944e-01,4.316867670801349232e-07,-5.117373923081411407e-08,7.621287302239307060e+00
5.621579359000000026e-02,9.999999999999997780e-02,4.531472426951401459e-07,-1.956357000964520480e-08,7.472607767648091759e+00
5.621579359000000026e-02,5.000000000000003747e-02,4.604664552395270984e-07,-6.229047507288167754e-09,7.420452239280981743e+00
5.621579359000000026e-02,0.000000000000000000e+00,4.620896991120413333e-07,0.000000000000000000e+00,7.408320621600459788e+00
8.432369038499999692e-02,1.000000000000000000e+00,8.944744014963801249e+01,0.000000000000000000e+00,7.241098749016131819e+00
8.432369038499999692e-02,9.499999999999999556e-01,8.459080196482810265e+01,2.579041592167137686e+00,7.299862338911789372e+00
8.432369038499999692e-02,9.000000000000000222e-01,7.022462056283335130e+01,5.042460816604634743e+00,7.579013367512065891e+00
8.432369038499999692e-02,8.499999999999999778e-01,4.692551137234891456e+01,7.428270594726027021e+00,7.870930826547041903e+00
8.432369038499999692e-02,8.000000000000000444e-01,1.432879954438804759e+01,7.210890063077759038e+00,1.440183778302264628e+01
8.432369038499999692e-02,7.500000000000000000e-01,2.574326331067268114e-05,-8.478427408903552815e-07,1.284498726829164461e+01
8.432369038499999692e-02,6.999999999999999556e-01,5.652271868610424553e-06,-3.645363130960662151e-07,1.047691684032688109e+01
8.432369038499999692e-02,6.500000000000000222e-01,-1.149482453560794413e-06,-2.087903137335396459e-06,1.032556795231074886e+01
8.432369038499999692e-02,5.999999999999999778e-01,1.335662584007400382e-08,-5.351001210507285743e-07,1.012734901788762265e+01
8.432369038499999692e-02,5.500000000000000444e-01,3.190703823629013338e-07,-6.500253076229001952e-08,1.006637905115367815e+01
8.432369038499999692e-02,5.000000000000000000e-01,3.408247727329316301e-07,6.247735523558923239e-08,9.999993789447376713e+00
8.432369038499999692e-02,4.500000000000000111e-01,2.383583733869982354e-07,1.306578778933240736e-07,1.000000064477192829e+01
8.432369038499999692e-02,4.000000000000000222e-01,3.885446727451797090e-06,-1.565286833787803171e-06,1.000000007934240820e+01
8.432369038499999692e-02,3.499999999999999778e-01,3.678756081395080803e-06,-4.537603717636733418e-07,9.999997144773622892e+00
8.432369038499999692e-02,2.999999999999999889e-01,2.177181145070987809e-07,-3.462615209013107521e-07,1.000000118588151210e+01
8.432369038499999692e-02,2.500000000000000000e-01,3.413718291662387487e-07,-3.121495603492684156e-07,7.895496351745303620e+00
8.432369038499999692e-02,2.000000000000000111e-01,4.483220137643951723e-07,-1.486122401671171699e-07,6.806754362358101496e+00
8.432369038499999692e-02,1.499999999999999944e-01,4.633358777876072774e-07,-6.149186828046531757e-08,6.349535585032437979e+00
8.432369038499999692e-02,9.999999999999997780e-02,4.666860083379650640e-07,-2.248443547442000491e-08,6.174384125343042484e+00
8.432369038499999692e-02,5.000000000000003747e-02,4.660800977646507177e-07,-6.703393770147457343e-09,6.116876462328113107e+00
8.432369038499999692e-02,0.000000000000000000e+00,4.654938338156835718e-07,0.000000000000000000e+00,6.104451547080453011e+00
1.124315871800000005e-01,1.000000000000000000e+00,9.082801261220836864e+01,0.000000000000000000e+00,6.080862365959903038e+00
1.124315871800000005e-01,9.499999999999999556e-01,8.591093297375651616e+01,2.242160773568365961e+00,6.150094453958194762e+00
1.124315871800000005e-01,9.000000000000000222e-01,7.130337114938760124e+01,4.057107512495600865e+00,6.359979037263426171e+00
1.124315871800000005e-01,8.499999999999999778e-01,4.692151732874271630e+01,4.207785915809651556e+00,6.876290451475372656e+00
1.124315871800000005e-01,8.000000000000000444e-01,3.361206192639016330e-04,8.301333390204722817e-07,4.333674996676908364e+00
1.124315871800000005e-01,7.500000000000000000e-01,1.379382868373330601e-05,4.819174997085413315e-06,-2.286415996429021646e+01
1.124315871800000005e-01,6.999999999999999556e-01,2.108034917373213628e-06,1.557672070443007803e-06,9.142484104703903824e+00
1.124315871800000005e-01,6.500000000000000222e-01,9.730922777965477602e-07,1.709887178429310074e-07,1.043827465106943464e+01
